id,name,WD Lsv,WD Len,WD Dsv,WD Den,WD e-postadress,WD telefonnummer,WD organisationsnummer (Sverige),abbreviation,other_names,description,classification,parent_id,founding_date,dissolution_date,image,url,jurisdiction_code,phone,email,address,contact,tags,source_url
se/aklagarmyndigheten,Åklagarmyndigheten,Åklagarmyndigheten,Swedish Prosecution Authority,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@aklagare.se,+46-10-562-50-00,202100-0084,,,,,,,,,www.aklagare.se,SE,010-5625299,registrator@aklagare.se,BOX 5553,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/ale-kommun,Ale kommun,Ale kommun,Ale Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",mailto:kommun@ale.se,+46-303-70-30-00,212000-1439,,,Förortskommuner till storstäderna,2.0,,,,,http://www.ale.se,SE,0303-33 00 00,kommun@ale.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/alingsas-kommun,Alingsås kommun,Alingsås kommun,Alingsås Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,+46-322-61-60-00,212000-1553,,,Pendlingskommuner,5.0,,,,,http://www.alingsas.se,SE,0322-616000,kommunstyrelsen@alingsas.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/alingsas-tingsratt,Alingsås tingsrätt,Alingsås tingsrätt,Alingsås tingsrätt,"tingsrätt i västra Sverige, med säte i Alingsås",,,,,,,,,,,,,www.alingsastingsratt.domstol.se,SE,,alingsas.tingsratt@dom.se,BOX 126,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/alkoholsortimentsnamnden,Alkoholsortimentsnämnden,Alkoholsortimentsnämnden,Alcoholic Beverages Product Range Board,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registratur@kammarkollegiet.se,+46-8-700-08-00,202100-5943,,,,,,,,,www.kammarkollegiet.se/rattsavdelningen/alkoholsortimentsnamnden,SE,08-7000988,,BOX 2218,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/allmanna-reklamationsnamnden,Allmänna reklamationsnämnden,Allmänna reklamationsnämnden,Swedish National Board for Consumer Complaints,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:arn@arn.se,+46-8-508-860-00,202100-3625,,,,,,,,,www.arn.se,SE,08-50886001,arn@arn.se,BOX 174,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/almhults-kommun,Älmhults kommun,Älmhults kommun,Älmhult Municipality,"kommun i Kronobergs län, Sverige","municipality in Kronoberg County, Sweden",,,212000-0647,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.almhult.se,SE,0476-55000,info@almhult.se,Box 500,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/alvdalens-kommun,Älvdalens kommun,Älvdalens kommun,Älvdalen Municipality,"kommun i Dalarnas län, Sverige","municipality in Dalarna County, Sweden",,,212000-2197,,,Turism- och besöksnäringskommuner,6.0,,,,,http://www.alvdalen.se,SE,0251-813 00,kommun@alvdalen.se,Box 100,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/alvesta-kommun,Alvesta kommun,Alvesta kommun,Alvesta Municipality,"kommun i Kronobergs län, Sverige","municipality in Kronoberg County, Sweden",mailto:kommunen@alvesta.se,+46-472-150-00,212000-0639,,,Pendlingskommuner,5.0,,,,,http://www.alvesta.se,SE,0472-15000,klk@alvesta.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/alvkarleby-kommun,Älvkarleby kommun,Älvkarleby kommun,Älvkarleby Municipality,"kommun i Uppsala län, Sverige","municipality in Uppsala County, Sweden",,,212000-0258,,,Förortskommuner till större städer,4.0,,,,,http://www.alvkarleby.se,SE,026-83000,kommun@alvkarleby.se,Box 4,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/alvsbyns-kommun,Älvsbyns kommun,Älvsbyns kommun,Älvsbyn Municipality,"kommun i Norrbottens län, Sverige","municipality in Norrbotten County, Sweden",,,212000-2734,,,Kommuner i glesbefolkad region,10.0,,,,,http://www.alvsbyn.se,SE,0929 - 17000,kommunen@alvsbyn.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
